"","LID","F1","F2","F3"
"1","villarrica",-0.328842997015403,-0.328842997015403,-0.328842997015403
"2","vilcun",-0.520775864479256,-0.520775864479256,-0.520775864479256
"3","victoria",-0.384443914590504,-0.384443914590504,-0.384443914590504
"4","tolten",0.947448942472564,0.947448942472564,0.947448942472564
"5","Temuco",-0.647371395423271,-0.647371395423271,-0.647371395423271
"6","Schmidt",0.104385594180477,0.104385594180477,0.104385594180477
"7","Sauces",-0.697637885283091,-0.697637885283091,-0.697637885283091
"8","Saavedra",0.242508017264183,0.242508017264183,0.242508017264183
"9","Renaico",-0.723155260177338,-0.723155260177338,-0.723155260177338
"10","Puren",1.28841507803499,1.28841507803499,1.28841507803499
"11","Pucon",-1.32529371113613,-1.32529371113613,-1.32529371113613
"12","Pitrufquen",0.160656443281917,0.160656443281917,0.160656443281917
"13","Perquenco",-0.46633539792922,-0.46633539792922,-0.46633539792922
"14","Padre de las casas",-0.853018536561081,-0.853018536561081,-0.853018536561081
"15","Melipeuco",-0.888415343593245,-0.888415343593245,-0.888415343593245
"16","Lumaco",-0.395499298943789,-0.395499298943789,-0.395499298943789
"17","Lonquimay",-2.32352105909908,-2.32352105909908,-2.32352105909908
"18","Lonco",1.12758570917712,1.12758570917712,1.12758570917712
"19","Lautaro",-0.118865894138241,-0.118865894138241,-0.118865894138241
"20","Imperial",0.347005011278184,0.347005011278184,0.347005011278184
"21","Gorbea",0.905165896802561,0.905165896802561,0.905165896802561
"22","Galvarino",0.3310310778201,0.3310310778201,0.3310310778201
"23","Ercilla",-0.0838687253760355,-0.0838687253760355,-0.0838687253760355
"24","Curacautin",-0.779282103938807,-0.779282103938807,-0.779282103938807
"25","Curarrehue",-1.7681098078739,-1.7681098078739,-1.7681098078739
"26","Cunco",-0.12162186420061,-0.12162186420061,-0.12162186420061
"27","Collipulli",-0.0964377298512599,-0.0964377298512599,-0.0964377298512599
"28","Cholchol",0.430011927931862,0.430011927931862,0.430011927931862
"29","Carahue",1.29915321552139,1.29915321552139,1.29915321552139
"30","Angol",0.246525095169409,0.246525095169409,0.246525095169409
"31","Corral",1.45907896656466,1.45907896656466,1.45907896656466
"32","Futrono",-1.41888153074109,-1.41888153074109,-1.41888153074109
"33","La Union",1.11433286140218,1.11433286140218,1.11433286140218
"34","Lago Ranco",-1.54954320471993,-1.54954320471993,-1.54954320471993
"35","Lanco",0.957556594906116,0.957556594906116,0.957556594906116
"36","Los Lagos",0.666358065425483,0.666358065425483,0.666358065425483
"37","Mafil ",1.3493581102837,1.3493581102837,1.3493581102837
"38","Mariquina",1.83281030538239,1.83281030538239,1.83281030538239
"39","Rio Bueno",-1.2018466242514,-1.2018466242514,-1.2018466242514
"40","Valdivia",1.28251152533689,1.28251152533689,1.28251152533689
"41","Paillaco",0.872676546669331,0.872676546669331,0.872676546669331
"42","Traiguen",0.218125361961708,0.218125361961708,0.218125361961708
"43","Freire",-0.489932197544521,-0.489932197544521,-0.489932197544521
