"","LID","PLAND.rescaled","LPI.rescaled","ED.rescaled","AREA_MN.rescaled","GYRATE_MN.rescaled","SHAPE_MN.rescaled","PARA_MN.rescaled","PAFRAC.rescaled","ENN_MN.rescaled","IJI.rescaled","COHESION.rescaled","AI.rescaled","DIVISION.rescaled","NP.rescaled","PD.rescaled","LSI.rescaled"
"1","villarrica",0.121799699957401,0.0296345468132015,0.23021213990793,0.0739836868462768,0.223544199345621,0.482637583051272,0.385569798696196,0.457185405807893,0.228563784202329,0.593376139481853,0.617186243858864,0.548488537228647,0.998294679399727,0.566610455311973,0.378324844368987,0.386347525585929
"2","vilcun",0.157988479845904,0.0297569269965122,0.228608039485549,0.143777110945656,0.368458851862868,0.446157703397267,0.199468833152905,0.388682055100521,0.309602078525896,0.583483809492636,0.712103617686466,0.71734787833388,0.997953615279672,0.48566610455312,0.295557441992077,0.332209103126431
"3","victoria",0.324052180247813,0.0818037355623833,0.33727160552418,0.302365749897844,0.627145680812888,0.410806067443901,0.217724784750959,0.209233060312733,0.202852362173333,0.336928395169488,0.833872264403751,0.872770260779999,0.988403819918145,0.467116357504216,0.324561403508772,0.314031279074919
"4","tolten",0.600383079079129,0.223907525083302,0.720449907455745,0.472578826993832,0.510600071002965,0.641970665663783,0.44705463767676,0.505956813104989,0.0582614494044437,0.778997346891644,0.956426976328719,0.809916194578397,0.909276944065484,0.854974704890388,0.40874363327674,0.755757757003825
"5","Temuco",0.363642677664113,0.330624899175417,0.386811257178112,0.221671960377805,0.143757496090039,0.260749655258869,0.31267819383037,0.551749813849591,0.210194534006094,0.516561469738381,0.92730683340777,0.870811679697863,0.889836289222374,0.21247892074199,0.493633276740238,0.127794884291052
"6","Schmidt",0.181010266889744,0.0276579214282138,0.368933605429263,0.0980005063913101,0.305760355398624,0.623793406042372,0.165646151822661,0.814966492926285,0.21674680457356,0.587564395613188,0.61900848593122,0.507709474538445,0.997612551159618,0.313659359190556,0.467458970005659,0.329999409271484
"7","Sauces",0.854913043209838,0.885416917762371,0.696094157847278,0.611597029505232,0.245589180683356,0.359784380092767,0.635198319152022,0.36559940431869,0.0555493014978829,0.658183630012311,0.993532827154978,0.96267771587309,0.21862210095498,0.426644182124789,0.461941143180532,0.330641826532571
"8","Saavedra",0.111515832494737,0.00689964639544004,0.384464429785013,0.0177546141356711,0.171919766649715,0.789143788391626,0.331104793317078,1,0.189562955556094,0,0.0266368914694042,0,0.999658935879945,0.266441821247892,0.701895868704018,0.340774666607594
"9","Renaico",0.643058891077128,0.34556640701053,0.52035261734137,0.538071685288664,0.457634737720805,0.252099786887301,0.86679246046601,0.0658972449739391,0.100419993113318,1,0.934095578383207,0.949896218611982,0.808321964529331,0.0505902192242833,0.386106395019808,0.0619323468167117
"10","Puren",0.621558925032566,0.200809192606012,1,0.187788866577589,0.215211425720344,0.513726965024445,0.647245857741715,0.574832464631423,0.0340979361806555,0.673844061237887,0.881715051362214,0.656686486570845,0.921896316507503,0.492411467116358,1,0.461813093497556
"11","Pucon",0.0245667594781975,0.00691448035705346,0.0502206824545584,0.0502325973946752,0.243380412776696,0.437507835025699,0.394531173592071,0.327252419955324,0.368655437319084,0.699045862951224,0.365270209915139,0.478104468061863,1,0.106239460370995,0.0865874363327674,0.104422341352473
"12","Pitrufquen",0.234138180111991,0.120260781045164,0.438204166864411,0.103488919138667,0.304995634277161,0.584304876519995,0.326232560021854,0.653015636634401,0.183997264227112,0.57729746636335,0.764216167932112,0.554255036908719,0.98431105047749,0.349072512647555,0.587153367289191,0.32968558474739
"13","Perquenco",0.14836211313952,0.0923321398175052,0.280878933130843,0.0620985323843928,0.221989330365281,0.487401278676194,0.758201047494747,0.579300074460164,0.232247509483954,0.164210859377983,0.63874944171505,0.541208233843657,0.990791268758527,0.138279932546374,0.522495755517827,0.122998907152246
"14","Padre de las casas",0.135945226791458,0.0635134608930416,0.207301504437378,0.120373225436888,0.158473820055459,0.408298859220258,0.683937851792646,0.447133283693225,0.293291863615343,0.539775713238811,0.739740955783832,0.705955334987593,0.993178717598909,0.075885328836425,0.292161856253537,0.06356238831539
"15","Melipeuco",0.0597831790933281,0.0193175265110708,0.0790304209577144,0.238352373145216,1,0.619531152062179,0,0.531645569620253,0.253988398952705,0.540874052818496,0.717659669495311,0.746469091873839,0.999317871759891,0.0354131534569983,0.0483870967741936,0.0782309157768818
"16","Lumaco",1,1,0.908758483223388,1,0.370809625699235,0.459571267393757,0.630601280870911,0.450111690245719,0.0379802294340104,0.590286604803235,1,0.925121338389749,0,0.404721753794266,0.327532541029994,0.537380192872861
"17","Lonquimay",0.00519209517400619,0.00206748339986983,0,0.0658187536924366,0.0889873442012646,0,0.230863997679728,0,1,0.460398857290411,0.55715944618133,0.735412082338437,1,0.112984822934233,0,0.0248087516429637
"18","Lonco",0.460128598504726,0.104492279850103,0.760160884628162,0.196023156957073,0.330954414177565,0.601980694496678,0.432777884573228,0.586373790022338,0.109323894365619,0.61326990604105,0.86835194283162,0.643585061722615,0.972032742155525,0.782462057335582,0.70557441992077,0.646149926897346
"19","Lautaro",0.337597313198787,0.0505689751401346,0.423966589150966,0.217807593028512,0.433969161685265,0.40842421963144,0.279932010643572,0.259493670886076,0.163960680942849,0.539933917780918,0.789727556945063,0.792249949279772,0.991473396998636,0.462057335581788,0.46335597057159,0.333313027040598
"20","Imperial",0.345184810189101,0.0878281782226318,0.554228560580893,0.113531928974858,0.165357749397914,0.309765576031089,0.427227443957682,0.409158600148921,0.127044402562602,0.290327156082419,0.792996873604286,0.660650467406402,0.986698499317872,0.664418212478921,0.818336162988115,0.416140549082156
"21","Gorbea",0.525022071034777,0.158977420856179,0.764038251625457,0.26531060756094,0.435003981923029,0.612385608624796,0.370681276284328,0.659717051377513,0.072887911864643,0.548576977420393,0.876444841447073,0.714882094979477,0.958390177353342,0.458684654300169,0.618138087153367,0.473138466764137
"22","Galvarino",0.689036097717577,0.259540555123928,0.736291585591571,0.314129320307545,0.27573569626083,0.320922652626301,0.537063642219502,0.346984363365599,0.0716151159720824,0.247902880595576,0.928664582402859,0.865185636031649,0.853683492496589,0.419898819561551,0.703735144312394,0.308927015491855
"23","Ercilla",0.674956938330751,0.184879372078405,0.578278202268521,0.347565770287197,0.341117912896633,0.292591199699135,0.676419901725702,0.175353685778109,0.0850970661907021,0.430139965558689,0.885913354175972,0.942217956521061,0.917803547066849,0.311973018549747,0.6262026032824,0.181348116314445
"24","Curacautin",0.0850707199170253,0.0167234374739247,0.138194675145935,0.101669336502039,0.299680006908397,0.391249843299486,0.232635228334295,0.397617274758005,0.316022876069843,0.39414752300785,0.663599821348814,0.639035847495981,0.999317871759891,0.396290050590219,0.200905489530277,0.289056385036847
