LID ; TYPE ; CA ; PLAND ; LPI ; TE ; ED ; AREA_MN ; AREA_AM ; AREA_MD ; GYRATE_MN ; GYRATE_AM ; GYRATE_MD ; SHAPE_MN ; SHAPE_AM ; SHAPE_MD ; FRAC_MN ; FRAC_AM ; FRAC_MD ; PARA_MN ; PARA_AM ; PARA_MD ; CIRCLE_MN ; CIRCLE_AM ; CIRCLE_MD ; CONTIG_MN ; CONTIG_AM ; CONTIG_MD ; PAFRAC ; ENN_MN ; ENN_AM ; ENN_MD ; CLUMPY ; PLADJ ; IJI ; COHESION ; AI ; NLSI; DIVISION ; MESH ; SPLIT ; NP ; PD ; LSI 
villarr_2013.tif ; Plantacion ;10821.78;8.3332;1.6726;1360320;10.475;28.0357;720.8978;6.03;183.2331;1035.1046;124.3982;1.8727;4.1549;1.6485;1.1015;1.1723;1.098;372.5299;128.0695;299.1837;0.6416;0.6688;0.6751;0.6918;0.8912;0.7492;1.3692;298.7576;162.5139;151.4853;0.8981;90.3948;60.6282;97.7811;90.6564;0.0934;0.9995;60.0738;2161.7323;386;0.2972;33.2839
vilcun_2013.tif ; Plantacion ;15122.16;10.6779;1.6792;1473900;10.4074;44.7401;817.9465;7.2;213.4394;1309.1955;141.2287;1.8436;4.1752;1.6172;1.097;1.1697;1.0914;317.3478;98.7478;268.9266;0.641;0.7045;0.6627;0.7341;0.9155;0.7713;1.3508;367.3615;168.1572;201.2461;0.9196;92.5939;60.0842;98.3124;92.8204;0.0718;0.9994;87.3397;1621.4951;338;0.2387;30.3512
victoria_2013.tif ; Plantacion ;27041.85;21.4373;4.4861;1890480;14.9867;82.6968;1972.2736;6.48;267.3606;2067.5151;141.1474;1.8154;4.9069;1.5455;1.0899;1.1743;1.0847;322.761;71.4781;249.0842;0.6353;0.713;0.6513;0.7309;0.9385;0.7786;1.3026;276.9913;112.7179;180;0.934;94.6391;46.5256;98.994;94.8122;0.0519;0.9966;422.8028;298.3512;327;0.2592;29.3665
tolten_2013.tif ; Plantacion ;68753.7;39.341;12.1498;5441190;31.1346;123.4357;11824.8832;5.94;243.0676;5528.1324;122.0507;1.9998;15.5704;1.625;1.099;1.2736;1.0954;390.7612;81.3451;286.2524;0.6177;0.7227;0.6441;0.6787;0.931;0.7586;1.3823;154.5862;75.8869;84.8528;0.9012;93.8991;70.8359;99.68;94.0067;0.0599;0.9734;4652.0307;37.5671;557;0.3187;53.295
Temuco_2013.tif ; Plantacion ;11155.5;24.0024;17.9051;793560;17.0744;63.3835;6254.8161;4.905;166.6022;3950.0688;104.294;1.6957;8.8035;1.5;1.086;1.2305;1.0803;350.9163;73.0994;292.0916;0.6115;0.7409;0.6322;0.7059;0.938;0.7529;1.3946;283.2069;82.1267;174.9286;0.9314;94.5175;56.404;99.517;94.7871;0.0521;0.9677;1501.3051;30.9575;176;0.3787;19.278
schmidt_2013.tif ; Plantacion ;7973.01;12.1695;1.566;1069290;16.321;33.7839;356.8237;5.625;200.3704;878.2089;118.1674;1.9853;4.3534;1.5941;1.1065;1.1823;1.0947;307.3188;135.5925;284.7011;0.6645;0.689;0.673;0.7402;0.8848;0.7545;1.4653;288.7538;156.3536;150;0.8877;89.8306;60.3086;97.7913;90.1338;0.0987;0.9993;43.4237;1508.7694;236;0.3602;30.2315
sauces_2013.tif ; Plantacion ;47482.65;55.8322;47.8252;2560560;30.1082;156.7084;34896.4023;4.5;187.8282;9165.2327;100.652;1.7747;19.3707;1.4706;1.0884;1.2891;1.0805;446.549;55.5702;304.7619;0.6014;0.6766;0.6396;0.6363;0.953;0.7414;1.3446;152.2902;67.369;108.1665;0.9086;95.8322;64.1921;99.8877;95.9644;0.0508;0.7709;19483.4196;4.365;303;0.3563;30.2663
saavedra_2013.tif ; Plantacion ;3032.19;7.6669;0.4465;671370;16.9755;14.5778;55.0926;7.2;172.4724;370.1823;133.3603;2.1172;2.9305;1.8235;1.1212;1.1603;1.1153;356.3801;224.3923;301.8353;0.6658;0.7264;0.6951;0.7045;0.8105;0.7427;1.515;265.741;236.3692;150;0.8227;83.1706;27.9972;94.4755;83.6273;0.1637;0.9999;4.2239;9363.2958;208;0.5259;30.8152
renaico_2013.tif ; Plantacion ;11128.86;42.106;18.7109;600030;22.7021;139.1108;3527.6847;2.925;232.0274;2726.8135;71.1621;1.6888;7.1078;1.4495;1.076;1.2088;1.0722;515.2206;59.6287;333.3333;0.5585;0.7047;0.6089;0.5853;0.9497;0.708;1.2641;190.276;73.1917;90;0.9275;95.5278;82.9893;99.555;95.8006;0.042;0.9438;1485.3675;17.794;80;0.3027;15.7102
puren_2013.tif ; Plantacion ;18903.69;40.713;10.9041;1992630;42.9154;55.2739;2613.4328;4.5;181.4962;2395.4908;95.0546;1.8975;9.2854;1.5;1.0934;1.2457;1.0848;450.1213;108.7724;323.1951;0.5778;0.7397;0.6203;0.6325;0.9083;0.7283;1.4008;134.1303;72.216;87.4264;0.8658;91.8421;65.0533;99.2618;92.043;0.0796;0.9771;1064.0058;43.6385;342;0.7366;37.3719
